iter	Passed	Remaining
0	7	6232
1	29	12862
2	45	13038
3	55	11861
4	76	13080
5	84	12055
6	93	11415
7	101	10836
8	109	10382
9	116	9965
10	127	9831
11	136	9685
12	144	9452
13	154	9384
14	164	9263
15	174	9245
16	183	9106
17	191	8983
18	213	9473
19	222	9387
20	236	9483
21	246	9415
22	255	9319
23	264	9218
24	272	9128
25	280	9029
26	288	8919
27	296	8816
28	303	8706
29	310	8601
30	318	8526
31	324	8428
32	333	8371
33	352	8581
34	360	8511
35	381	8757
36	388	8664
37	395	8579
38	403	8510
39	409	8424
40	417	8360
41	425	8302
42	433	8266
43	445	8273
44	453	8242
45	461	8190
46	469	8138
47	477	8103
48	489	8118
49	496	8059
50	504	8024
51	511	7966
52	518	7914
53	524	7854
54	533	7829
55	539	7769
56	546	7720
57	553	7666
58	559	7619
59	566	7567
60	572	7515
61	579	7478
62	585	7426
63	590	7358
64	596	7312
65	602	7270
66	609	7236
67	615	7191
68	621	7146
69	628	7114
70	635	7077
71	659	7240
72	668	7224
73	688	7329
74	695	7294
75	703	7274
76	711	7258
77	717	7213
78	724	7178
79	730	7140
80	736	7102
81	743	7076
82	750	7048
83	754	6989
84	762	6974
85	769	6945
86	777	6922
87	783	6895
88	791	6873
89	797	6841
90	803	6808
91	809	6777
92	816	6751
93	824	6733
94	830	6702
95	836	6676
96	843	6650
97	849	6623
98	856	6599
99	862	6574
100	869	6551
101	876	6531
102	883	6510
103	890	6489
104	896	6465
105	914	6523
106	921	6499
107	928	6480
108	934	6459
109	942	6444
110	954	6456
111	962	6443
112	969	6428
113	976	6409
114	982	6384
115	989	6365
116	996	6344
117	1004	6335
118	1022	6382
119	1029	6363
120	1051	6437
121	1057	6414
122	1064	6395
123	1070	6373
124	1077	6351
125	1084	6332
126	1096	6347
127	1104	6333
128	1112	6318
129	1119	6301
130	1125	6282
131	1133	6266
132	1139	6247
133	1146	6230
134	1154	6216
135	1160	6195
136	1167	6176
137	1173	6156
138	1181	6143
139	1187	6123
140	1193	6103
141	1200	6088
142	1207	6073
143	1215	6058
144	1222	6044
145	1234	6054
146	1241	6036
147	1248	6023
148	1254	6004
149	1264	6003
150	1281	6034
151	1287	6014
152	1297	6012
153	1303	5994
154	1311	5983
155	1327	6006
156	1334	5991
157	1342	5983
158	1350	5971
159	1373	6027
160	1381	6014
161	1388	5998
162	1395	5983
163	1402	5969
164	1408	5951
165	1416	5938
166	1422	5921
167	1429	5906
168	1436	5890
169	1444	5877
170	1450	5863
171	1458	5849
172	1465	5835
173	1478	5846
174	1485	5831
175	1494	5823
176	1501	5809
177	1509	5801
178	1516	5786
179	1524	5775
180	1530	5759
181	1537	5744
182	1544	5729
183	1555	5731
184	1570	5748
185	1577	5731
186	1583	5714
187	1589	5698
188	1595	5682
189	1602	5666
190	1616	5680
191	1623	5666
192	1631	5654
193	1637	5638
194	1643	5622
195	1650	5606
196	1656	5592
197	1663	5576
198	1669	5561
199	1676	5549
200	1684	5538
201	1691	5526
202	1698	5513
203	1705	5502
204	1712	5488
205	1719	5475
206	1726	5464
207	1733	5450
208	1740	5438
209	1747	5424
210	1771	5465
211	1777	5450
212	1784	5437
213	1790	5421
214	1796	5405
215	1803	5392
216	1809	5377
217	1816	5365
218	1822	5352
219	1829	5337
220	1835	5325
221	1841	5309
222	1848	5296
223	1862	5305
224	1869	5292
225	1877	5284
226	1884	5271
227	1893	5264
228	1899	5251
229	1906	5237
230	1911	5222
231	1918	5208
232	1924	5194
233	1936	5196
234	1954	5215
235	1961	5203
236	1970	5195
237	1977	5184
238	1984	5172
239	1992	5163
240	2016	5195
